B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,Status,_priceFormat,_priceFormatType,_tickSize,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
Buy,NQM4,NQ,E-Mini NASDAQ 100,17901.25,1,3:13:03 PM,Filled,-2,0,0.25,3:13:03 PM,4/17/2024,1,Tradingview,Market,,,,,1,17901.25,17901.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,3:14:42 PM,4/17/2024,1,Tradingview,Stop,,17890.5,,17890.5,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,3:14:55 PM,4/17/2024,1,Tradingview,Limit,17922.5,,17922.5,,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,17908.25,1,3:20:17 PM,Filled,-2,0,0.25,3:20:17 PM,4/17/2024,1,Exit,Market,,,,,1,17908.25,17908.25
Buy,NQM4,NQ,E-Mini NASDAQ 100,17884.5,1,7:28:13 PM,Filled,-2,0,0.25,7:28:13 PM,4/17/2024,1,Tradingview,Market,,,,,1,17884.5,17884.5
Sell,NQM4,NQ,E-Mini NASDAQ 100,17865.25,1,7:32:59 PM,Filled,-2,0,0.25,7:28:23 PM,4/17/2024,1,Tradingview,Stop,,17865.25,,17865.25,1,17865.25,17865.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,7:28:34 PM,4/17/2024,1,Tradingview,Limit,17988.25,,17988.25,,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17852.75,1,7:36:30 PM,Filled,-2,0,0.25,7:36:30 PM,4/17/2024,1,Tradingview,Market,,,,,1,17852.75,17852.75
Sell,NQM4,NQ,E-Mini NASDAQ 100,17836.25,1, 7:41:22 PM,Filled,-2,0,0.25,7:36:35 PM,4/17/2024,1,Tradingview,Stop,,17838.25,,17838.25,1,17836.25,17836.25
Buy,NQM4,NQ,E-Mini NASDAQ 100,17831,1,7:43:34 PM,Filled,-2,0,0.25,7:43:34 PM,4/17/2024,1,Tradingview,Market,,,,,1,17831,17831
Sell,NQM4,NQ,E-Mini NASDAQ 100,17818.5,1, 7:52:31 PM,Filled,-2,0,0.25,7:43:41 PM,4/17/2024,1,Tradingview,Stop,,17818.5,,17818.5,1,17818.5,17818.5
Buy,NQM4,NQ,E-Mini NASDAQ 100,17825.25,1,7:54:13 PM,Filled,-2,0,0.25,7:54:13 PM,4/17/2024,1,Tradingview,Market,,,,,1,17825.25,17825.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:21:29 PM,4/17/2024,2,Tradingview,Stop,,17817.25,,17817.25,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17832,1, 8:05:00 PM,Filled,-2,0,0.25,8:04:57 PM,4/17/2024,1,Tradingview,Limit,17832,,17832,,1,17832,17832
Sell,NQM4,NQ,E-Mini NASDAQ 100,17824.75,2, 8:21:39 PM,Filled,-2,0,0.25,8:21:39 PM,4/17/2024,2,Exit,Market,,,,,2,17824.75,17824.75
Buy,NQM4,NQ,E-Mini NASDAQ 100,17781.75,2,8:25:05 PM,Filled,-2,0,0.25, 8:25:05 PM,4/17/2024,2,Tradingview,Market,,,,,2,17781.75,17781.75
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:25:10 PM,4/17/2024,2,Tradingview,Stop,,17764.25,,17764.25,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,17793.75,2,8:27:13 PM,Filled,-2,0,0.25,8:27:13 PM,4/17/2024,2,Exit,Market,,,,,2,17793.75,17793.75
Buy,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:27:21 PM,4/17/2024,2,Tradingview,Limit,17785.75,,17785.75,,,,
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:27:27 PM,4/17/2024,2,Tradingview,Stop,,17764.5,,17764.5,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17805.25,2,8:28:16 PM,Filled,-2,0,0.25,8:28:16 PM,4/17/2024,2,Tradingview,Market,,,,,2,17805.25,17805.25
Sell,NQM4,NQ,E-Mini NASDAQ 100,17796.33333,3,8:43:23 PM,Filled,-2,0,0.25,8:39:53 PM,4/17/2024,3,Tradingview,Stop,,17796.5,,17796.5,3,17796.33,17796.33333
Buy,NQM4,NQ,E-Mini NASDAQ 100,17817,1,8:37:03 PM,Filled,-2,0,0.25, 8:37:03 PM,4/17/2024,1,Tradingview,Market,,,,,1,17817,17817
Sell,NQM4,NQ,E-Mini NASDAQ 100,,,,Canceled,-2,0,0.25,8:40:05 PM,4/17/2024,3,Tradingview,Limit,17904,,17904,,,,
Buy,NQM4,NQ,E-Mini NASDAQ 100,17801.25,3,8:43:35 PM,Filled,-2,0,0.25,8:43:35 PM,4/17/2024,3,Tradingview,Market,,,,,3,17801.25,17801.25
